"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000026657","ENSMUSG00000026657","Frmd4a",0.0887206324847658,1.07814399486767,0.110329267312158,0.913111727817746,0.991432429581756,-5.44085674514527
"ENSMUSG00000051343","ENSMUSG00000051343","Rab11fip5",0.0778839442749963,-0.003799902644456,0.110308084288438,0.913128339722391,0.991432429581756,-5.61517611329994
"ENSMUSG00000032551","ENSMUSG00000032551","1110059G10Rik",-0.0448309304890655,4.4000450194673,-0.110254998615055,0.913169970130022,0.991432429581756,-5.93392415878678
"ENSMUSG00000028461","ENSMUSG00000028461","Ccdc107",0.0305990972315175,5.38524956771732,0.110166577359499,0.913239311679834,0.991432429581756,-6.38414525913101
"ENSMUSG00000026036","ENSMUSG00000026036","Nif3l1",-0.030289327057357,5.42998586675237,-0.110126964355446,0.91327037714355,0.991432429581756,-6.51033096997259
"ENSMUSG00000045691","ENSMUSG00000045691","Thtpa",0.0914671915855183,1.48482411267361,0.110044317514894,0.9133351912246,0.991432429581756,-5.46489937155309
"ENSMUSG00000026102","ENSMUSG00000026102","Inpp1",0.0491194478417025,5.00419871089773,0.109983820873818,0.913382634858151,0.991432429581756,-5.85217757028022
"ENSMUSG00000032263","ENSMUSG00000032263","Bckdhb",-0.0820730599733521,2.8923667681045,-0.10990729538871,0.913442649357247,0.991432429581756,-5.48339551413184
"ENSMUSG00000003346","ENSMUSG00000003346","Abhd17a",-0.0228071347740029,7.38495442840194,-0.109904810511024,0.91344459811151,0.991432429581756,-6.94673311858958
"ENSMUSG00000075266","ENSMUSG00000075266","Cenpw",-0.0623110310781687,3.06197082984906,-0.109861497529219,0.913478566213828,0.991432429581756,-5.52932926659096
"ENSMUSG00000053604","ENSMUSG00000053604","Rpia",0.0546781051329028,3.27839585544647,0.109835855333184,0.913498676124165,0.991432429581756,-5.80990211736763
"ENSMUSG00000029458","ENSMUSG00000029458","Brap",-0.0295538374832169,6.08698052036962,-0.10975542069387,0.913561757430116,0.991432429581756,-6.61596935589936
"ENSMUSG00000078783","ENSMUSG00000078783","Gm9733",0.0710003440014801,0.219626828425706,0.109599690280884,0.913683891509429,0.991432429581756,-5.71751990201451
"ENSMUSG00000070939","ENSMUSG00000070939","Tgfbrap1",-0.0479715845306883,4.52642547163682,-0.109545507522012,0.913726385719012,0.991432429581756,-6.14539681645254
"ENSMUSG00000033124","ENSMUSG00000033124","Atg9a",0.117680510827977,2.24950156947731,0.109461322690047,0.913792410341035,0.991432429581756,-5.47469045734078
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",0.401174410683061,4.11580016743363,0.109438145765,0.913810587690354,0.991432429581756,-5.44371303909606
"ENSMUSG00000051497","ENSMUSG00000051497","Kcnj16",0.0710003440014799,0.188167639405903,0.109434521227649,0.913813430370401,0.991432429581756,-5.71753679477258
"ENSMUSG00000042742","ENSMUSG00000042742","Bmt2",-0.0589707391237986,3.92695115830165,-0.10931839339338,0.913904508624284,0.991432429581756,-5.8142117268805
"ENSMUSG00000097025","ENSMUSG00000097025","Gm26558",0.0837769847155137,0.852770645935998,0.10931132933667,0.913910048953832,0.991432429581756,-5.48131763045199
"ENSMUSG00000033216","ENSMUSG00000033216","Eefsec",0.0286548262585846,5.97660448645022,0.109024700614252,0.914134855211137,0.991432429581756,-6.68396044383883
"ENSMUSG00000037628","ENSMUSG00000037628","Cdkn3",0.09967324889147,1.49020117991402,0.109010071629109,0.914146329091912,0.991432429581756,-5.45069711676138
"ENSMUSG00000005609","ENSMUSG00000005609","Ctr9",0.0349299012241184,6.20726300213134,0.108979343358742,0.914170430108929,0.991432429581756,-6.76759760414426
"ENSMUSG00000030583","ENSMUSG00000030583","Sipa1l3",-0.0658645335114247,3.53775827682783,-0.108922849823289,0.914214739742804,0.991432429581756,-5.78288820631584
"ENSMUSG00000023066","ENSMUSG00000023066","Rttn",-0.0966651483569163,2.86677885349192,-0.108872980882778,0.914253853737558,0.991432429581756,-5.64314336346892
